Round,Test_Accuracy,Test_Loss,Comm_Cost_MB
1,0.5053,2.0083562410354614,0.24993896484375
2,0.7037,1.7864575155258178,0.4998779296875
3,0.7073,1.6975842329025268,0.74981689453125
4,0.8352,1.5914223119735718,0.999755859375
5,0.7373,1.6234129667282104,1.24969482421875
6,0.1836,5.753599859619141,1.4996337890625
7,0.1155,15.462203164672852,1.74957275390625
8,0.1721,125.11310187988282,1.99951171875
9,0.1023,556.352562109375,2.24945068359375
10,0.0876,1556.017449609375,2.4993896484375
11,0.3922,2.4917907402038573,2.74932861328125
12,0.2238,2.6575323921203613,2.999267578125
13,0.1856,2.869932434463501,3.24920654296875
14,0.1896,2.8552501327514648,3.4991455078125
15,0.1357,3.0485825069427492,3.74908447265625
16,0.8487,1.1830684329986572,3.9990234375
17,0.8623,1.184248178100586,4.24896240234375
18,0.8267,1.2296685865402222,4.4989013671875
19,0.8527,1.1801743821144104,4.74884033203125
20,0.8533,1.1648581702232361,4.998779296875
21,0.8262,1.6136236951828002,5.24871826171875
22,0.8264,1.609459033203125,5.4986572265625
23,0.8199,1.6087760423660278,5.74859619140625
24,0.7918,1.6585125232696534,5.99853515625
25,0.7776,1.6482313974380494,6.24847412109375
